"TOKEN";"REFTEXT"
"BRAUCUMIMB";"III./PR-14"
"BRECOXZJBB";"165mm"
"BRFWUEGMRN";"33rd Armoured Brigade"
"BRGVFIWEIT";"L4A4"
"BRGXCWBHWM";"BEUTE M151"
"BRIAIYLXZJ";"MFRW BM-21-1 [NPLM]"
"BRIMGLZFAN";"#NL 1 Lka"
"BRIRPZHSRX";"1-79-y Gv. Tank. Polk"
"BRIXYXQAIT";"JÄGER"
"BRKNTRMLOU";"57 Tkbat"
"BRLPOCJOET";"M108A2"
"BRMAVKUVAM";"ZiS-2"
"BRMDLHONKV";"#UK  20th Armoured Brigade"
"BRPJBSIWMD";"DSh. (Metis)"
"BRRYOMHXGN";"1-10th Special Forces Group"
"BRTDTTIRQX";"2-37 pa"
"BRUJGAAJMP";"A Gatling gun is a multi-barrelled automatic rotary cannon capable of shooting a massive quantity of rounds extremely fast.\nUsing an electronic firing mechanism, a modern Gatling gun (also known as minigun) can fire so quickly it is in danger of running out of ammunition within seconds. Gatling guns are often cumbersome weapons and are relegated to be used on aircraft or stable land platforms. They can be employed as a close-in defensive system to saturate a target area by throwing a hail of fire, an anti-aircraft gun, or even an airborne anti-tank weapon able to punch through the weak top plating of many armored vehicles."
"BRXFUPCHPW";"BERLIN CMD. OFFICIAL BATTLEGROUP"
"BRXLRGVNJB";"#NATO  NORTHAG"
"BRZIURMUHR";"M wz.37 82mm"
"BSAWNQBSVO";"Mk 84"
"BSCHVXJKJX";"#DDR 13. Mot.-Schützen-Rgt."
"BSEHYECWLL";"M256"
"BSJQUPPKET";"T-72M-E2"
"BSKBAZAHZA";"ROCKET"
"BSMXQSODPS";"D-10T2S"
"BSNLPYQGKY";"AMELI"
"BSWVAIMKUS";"MAG x2"
"BSXAGDQTQO";"Mi-2T"
"BTBNOQLWKM";"1-23-y Tank. Polk"
"BTBRQZPXQY";"2e Gidsen"
"BTEUXEWGGQ";"25 br"
"BTFXRUPCKU";"HARRIER GR.3 [CLU]"
"BTGCRAFYGD";"Field Supply Point"
"BTGFRWPXNW";"27mm"
"BTHGTWFWRY";"27-YA GV. MOTOSTRELK. DIV."
"BTJPSARFMP";"FUCHS M40A1"
"BTMJHETUOU";"9. PANZERDIVISION"
"BTMQHWYRUB";"#RECO2 DESANT. SPETSRAZVEDKA"
"BTNQUBAFPU";"2-174-y Gv. MSP"
"BTODFACACR";"10th Engineer Bat."
"BTPRMRJEOC";"#CZ 4. Motostřelecký Pluk"
"BTRFSAENGT";"1-504th PIR"
"BTSTSSGEKN";"CANBERRA B(I).82 [HE]"
"BTTUSJCYJQ";"WASP 58"
"BUAUVKNENZ";"11-y Razvedka Bat."
"BUCYBNIEML";"10 Dywizja Zmechanizowana"
"BUDEFKZPMQ";"2S12"
"BUDWSDGXXG";"PIECHOTA ZMECH."
"BUEVNPHETW";"POGRANVOISKA KGB"
"BUHNPWECSN";"L118 105mm"
"BUIJHLZNIN";"Res. Mot.-Schützenbat. 13"
"BULXVROMXO";"Sicherungs-Bat. 108"
"BUOJKTWVBK";"Pionier-Bat. 740"
"BUQKATRXNN";"3RD ARMORED DIVISION"
"BUVHFWDFLI";"13 Painfbat"
"BUVHOMCBXW";"287-y Zen. Art. Polk"
"BUYTRAWJCH";"Military Police"
"BUZUQOHZYL";"Raketenartillerielehr-Bat. 112"
"BVABHHGCXR";"48 Painfbat"
"BVDEAZQMMR";"2-138-y otd. Tank. Polk"
"BVGZQHARAE";"F-4E PHANTOM II [CLU]"
"BVMJTZRQND";"5. PANZERDIV. OFFICIAL BATTLEGROUP"
"BVOEXDKTPQ";"#SOV 210-y MSP"
"BVTIDKVIKG";"#SOV 10-ya Gv. Tank. Div."
"BVUTBLUIFJ";"VKK 442"
"BVVWZIIIHT";"Aufk.-Bataillon 1"
"BVWIURIPDV";"#SOV 9-ya Tank. Div."
"BVYPEUXRME";"II./PR-14"
"BVZUJZQPRM";"Forward HQ (2nd ArmDiv)"
"BWAKYABEBL";"AIR-TO-GROUND ROCKETS"
"BWAOCXQXOA";"2-944-y Gv. Art. Polk"
"BWCATBZYMJ";"PARA. MAG 7,62mm"
"BWDLOLEUVL";"DESANT. PKM 7,62mm"
"BWDLXSNVGZ";"CN 90 F4"
"BWDSJWJXUP";"1-197-y Gv. Tank. Polk"
"BWEPKOFQKW";"Jäger-Bat. 631"
"BWJDJOJKAN";"Aufk.-Bataillon 10"
"BWMVTBRLWJ";"REZERVISTI"
"BWNFYSJGUN";"CF-188 [AA]"
"BWOSPRVTGE";"C.15 [AT]"
"BWRDKDQXET";"Mk 82"
"BWVDZIMIMQ";"Although UAV doesn't have ECM, they are very hard to target effectively by enemy fire. Also, the operator being safe on the ground, an UAV doesn't suffer from stress nor evacuate automatically."
"BWYAAINWNB";"STRZAŁA-2M"
"BWZJSSSAFR";"2-23 pcz"
"BXDDAAOSPU";"DESANT. ZU-23-2"
"BXGTCBKSMP";"59 Tkbat"
"BXIVXTJSFH";"Kokon"
"BXKTALOAQP";"LEOPARD 1A5(BE)"
"BXLDJKXPSB";"Res. Mot.-Schützenbat. 33"
"BXRIWACKSF";"MIRAGE F1C-200"
"BXRXQEOWWO";"MIM-72G"
"BXUUWTLHZA";"HS 3-14 HA CH"
"BXVPWMVULZ";"Panzer-Bat. 63"
"BYCLQGEMWP";"C-3464 ABAS."
"BYDUTVAXXI";"Pz.Kan. 61"
"BYDZXPVCJK";"#RECO2 PATROUILLES"
"BYEJPUVTEN";"Type 56"
"BYGCWMBGRX";"833-y IAP"
"BYJJBERHPE";"HA.15"
"BYJZWRQEEO";"M72A3 LAW"
"BYMUWYYAHC";"MG/62"
"BYNRYFOWIU";"#SOV 100-y Tank. Polk"
"BYPYOYGIFJ";"#RFA  63. Heimatschutz-Brig."
"BYQIIEPKDR";" 3RD ARMORED DIVISION"
"BYRLCKHYZA";"#CMD DSh. KOM."
"BYSBJWYIKW";"MiG-27M [HE]"
"BYUMZLIEVS";"Esc. de Chasse 1/2 Cigognes"
"BYWHTUHHIT";"This unit represents an army's crème de la crème: highly trained professionals, well-equipped and with more combat experience than regular troops."
"BYWPHLDPPY";"#RECO2 DELTA"
"BYXZRQBVSL";"Type 59-1"
"BYYMDTERDZ";"#RECO2 FALLSCHIRMJÄGER B1"
"BZFGOYLFQS";"#NL 101 Infanteriebrigade"
"BZKHDELOCK";"F-4F [HE2]"
"BZLFXSXAFE";"122mm"
"BZNAAEPHBT";"PzArtillerie-Bat. 125"
"BZPENPQYMB";"PARA-COMMANDO"
"BZPIHSWMOF";"COMMANDOS"
"BZRKWOSOYH";"AANF1 x2"
"BZSYBVHXYN";"Panzer-Bat. 61"
"BZTVLUEWCM";"RPO Rys x4"
"BZWHZEYGPD";"L7A3"
"BZWOHBZPPG";"1-18. TP"
"BZYPZCYIIU";"559-y APIB"
"BZYVIWSPLF";"PzGrenadier-Bat. 13"
"BZZGDKFYEH";"1-61 brop"
"CACPFAMJCU";"240mm"
"CADXVCTOKR";"#RECO1 PARA. SPARTAN"
"CAGGAFIKVC";"3-12. MSP"
"CAHPLMPOBY";"Escadron Blindé"
"CAJUCIFHGO";"82nd AB. OFFICIAL BATTLEGROUP"
"CANCYTPFBM";"#CMD CMDT LEGION."
"CAPUQIFHNN";"BERLIET GBC 8KT"
"CAUNHZUXHK";"#SOV 295-y Gv. MSP"
"CAWOIOVAND";"M48A2GA2"
"CAZFQLPOMX";"Hovea m/49"
"CBAOXGYXCV";"GATLING"
"CBAZWMBOPC";"M249"
"CBBYUVOTJA";"NS-23"
"CBCLGJASPE";"JPK 90"
"CBEPFMBPNU";"1089-y otd. Zen.-Rak. Bat."
"CBEXPUYNKX";"1-37 pa"
"CBIBBJXPMH";"#RECO1 M1025 HUMVEE M2HB"
"CBITWWQBDH";"FAMAS"
"CBIVNPIPFV";"FALLSCHIRMJÄGER"
"CBKVZPPTZF";"2-119-y Otd. Tank. Polk"
"CBLWXXCVBA";"L44"
"CBNCXXUXGK";"#SOV  44-y Gv. Tank. Polk"
"CBUFCMRJVO";"#CMD PIONIER FÜH."
"CBYVMEVYWM";"#RECO1 SONDERWAGEN 4"
"CCCTKMMOEY";"JAGUAR [RKT2]"
"CCFEBELCQX";"DESANT. PPK FAGOT"
"CCIZFSJCSL";"M109A1"
"CCJHOHKXWZ";"Sicherungs-Bat. 48"
"CCMGSQMYXI";"Su-22M4K [AT2]"
"CCMHEMQRVL";"135mm"
"CCNBXIKRCW";"#RECO2 ESR-GVP"
"CCNDMWONKO";"GACA II/11"
"CCPBHITAXM";"HSS.804 x3"
"CCXTFHDPCW";"AR-70"
"CCYZVFZIEZ";"Radar"
"CDFQTJJCGI";"IV./Artillerie-Brigade 40"
"CDGVVFXPIS";"ASTROS II [CLU]"
"CDOEMFZSYO";"M35 SUPPLY"
"CDOZBHTGQI";"3-3. DP"
"CDUCNWKZOU";"MECH. RIFLES"
"CDZGXQGWBC";"Kom./79-ya Gv. Tank. Div."
"CEDJUVPUMH";"Jäger-Rgt. 93"
"CEECUVLRUU";"MAV"
"CEGHUVHDBE";"1ste Bataljon Parachutisten"
"CEHDSAPLJN";"#RECO2 PATROUILLES PROV."
"CEHLEMHADD";"H D-30 122mm"
"CEKXUNXUHJ";"1-9. MSP"
"CEMRSGPRIA";"547th Engineer Bat."
"CEPYVCCORK";"Panzer-Bat. 243"
"CEQABIFDEY";"#RFA VBK 41"
"CEQKTMARIY";"SAS"
"CEQXYXPZPT";"Tarasnice T-21"
"CEUCOMDOCE";"III./MSR. 17"
"CEVARUUAHB";"GAZ-66"
"CEWXYGYIFS";"73 pułk czołgów"
"CEWZIEXABC";"2-283-y Gv. MSP"
"CEXCLKBVWO";"A wz. 1931/37/85 122mm"
"CFBSXCEFIR";"2-505th PIR"
"CFCGJNYLHZ";"1-Royal 22e Rgt."
"CFCJOBPSGP";"#RECO1 M38A1 VERK."
"CFFAXPSZGT";"Jäger-Bat. 843"
"CFFBAPKIXJ";"#DDR 34. Mot.-Schützen-Rgt."
"CFGDGILIWS";"SICHERUNGS"
"CFGRZAXEKZ";"HEIMAT-JÄGER"
"CFIORGPAAM";"72,5mm HEAT"
"CFKCAJDOLN";"AGS-17 30mm PLOMIEN"
"CFQLEPQNWQ";"#US  1st Brigade"
"CFSDLAFGUM";"#SOV 239-y Gv. Tank. Polk"
"CFTMXUHLSQ";"3-59 pz"
"CFVIWSMAFT";"2S23 NONA-SVK 120mm"
"CFWFKYPPKE";"Panzer-Bat. 33"
"CGAPCTQNFO";"MILAN 2"
"CGGGXVDQOW";"Feldjäger-Bat. 740"
"CGGLIDJGRD";"M-30 122mm"
"CGIFFEKCUY";"14 Afdva"
"CGIXNXPACN";"#CMD SAPERI KOM."
"CGJKPFGTOI";"#RFA  1. Panzerdivision"
"CGKHBPREDZ";"REZ. IS-2M"
"CGLTXUDSGK";"Panzer-Bat. 211"
"CGMJHRXKOU";"M693 F1"
"CGOIENWGDD";"AK-63F"
"CGQGYBNGUO";"1-MSR. 9"
"CGRBBHWZEZ";"Aufk.-Bataillon 11"
"CGTAWHRFYG";"PANZER 68"
"CGTPVSMERB";"2K12 KUB-M3"
"CGZGYWTWUC";"FFAR"
"CHBUYZYPSC";"6TH INFANTRY DIVISION (LIGHT)"
"CHCBSOJVCK";"51 Afdva"
"CHCTQLTFAV";"KPz. T-54AM"
"CHFNMQCTPE";"T-62MD"
"CHGYGNBRNG";"#CMD DESANT. SAPERI KOM."
"CHJMMGAZGL";"RESERVISTEN"
"CHKALGFITQ";"DESANT. USILENNIE"
"CHKNDEFHOZ";"ROVER PREVOTE"
"CHKSNFWOEZ";"BERLINER GRUPPIERUNG"
"CHLIPPPZKG";"22 Air Defence Rgt. RA"
"CHMPQYIPPU";"MB-240GD"
"CHMRJEPGFK";"PARA. AANF1 7,62mm"
"CHOSCNEZWP";"M-240 240mm [HE Cluster]"
"CHPOCHCCEK";"XM-477 SLAMMER"
"CHQTJLNQVD";"Mi-2URP SALAMANDRA"
"CHRNBOZXLK";"280mm"
"CHSBOQPHAG";"TRM-2000 TARASQUE LEGION"
"CHTYSQJGSZ";"PLRK KUB-M3"
"CHUGSTYGOZ";"AGM-45B Shrike"
"CHVJQTAYDS";"11E DIVISION PARACHUTISTE"
"CHVZJZGUDQ";"2S4 TYULPAN"
"CHXEQYJRNV";"#CZ 332. KDBr"
"CHXNQHZWOL";"Panzer-Bat. 294"
"CIBEACLEIW";"MARDER 1A3"
"CICSKOHCZU";"BGL-400"
"CIDSPLGZML";"3-17-y Gv. Tank. Polk"
"CIEPODBNHP";"#CMD CAV. TROOPERS LDR."
"CIKSWOWQRH";"LEOPARD 2A3"
"CILPNVCGNJ";"#RECO2 ZMOT. ZWIAD"
"CIOCMWMBJA";"DOW. DESANT. KOMANDOSI"
"CIPIGVTPBP";"PTS-M ZAOP."
"CIQIGHVTOQ";"AIRMOBILE PIONEERS"
"CISOZFOUBO";"4TH ARM. DIV. OFFICIAL BATTLEGROUP"
"CITCFSIPOU";"HK21"
"CIUMFWNSUQ";"R-33"
"CJDNWWFSZQ";"Hydra MK40"
"CJFTSAWOKR";"FAL"
"CJGCRTDXKG";"VKK 324"
"CJJHTCQBXK";"PzArtillerie-Bat. 15"
"CJKRQXNDMD";"#RECO2 MARSOUINS ECLAIREURS"
"CJOICEPDNA";"GURKHA RIFLES"
"CJSNDIJSMM";"OT-62A"
"CJYCWMEAEA";"L23A1"
"CJYKVHYVXF";"BRF-1000"
"CKCDDQSLFM";"VKK 413"
"CKDRXWNFUO";"35TH INFANTRY DIVISION (MECH.)"
"CKEJBOPNPO";"M110A2G"
"CKETXTUSYC";"MORTAR"
"CKGSBFWDZL";"FLAK ZU-23-2 23mm"
"CKNLVPUQNZ";"T-10M"
"CKPBPAZFEH";"MAG 7,62mm"
"CKPZGCMLYI";"CH-135"
"CKQPAPSLYD";"#RECO2 LUCHS A1"
"CKSNLMFGUL";"2-221-y otd. Tank. Polk"
"CKTQPATQLX";"HQ-XVII. Airborne Corps"
"CKUFXVFYJJ";"#RECO2 DSh. MOT. RAZVEDKA"
"CKXXBXMNXT";"#RECO1 M1025 HUMVEE M2HB"
"CKYVSBETXA";"42 PAINFBAT"
"CKYXOWNHUA";"Teruel-2"
"CKZCDXRBEC";"PEGASO 3055 ABAS."
"CL_DEFVAL";"-"
"CLABVOCPQS";"JG-2"
"CLBSQAABHG";"357-Y OCHAP"
"CLCDIQBCOY";"3-9 pz"
"CLFOCJLIHB";"6TH INFANTRY DIVISION (LIGHT)"
"CLKCYDQYYF";"#RECO2 K-1 CHETAK"
"CLKXZNOGJV";"Mk 84"
"CLMDGSOVRR";"#RECO1 FV721 FOX"
"CLNRPYBUAI";"#RECO2 MÉLYSÉGI FELDERITÕ"
"CLNZGQFCOU";"N.G. M2 BRADLEY IFV"
"CLPWWKCZRB";"M115 203mm"
"CLQVCRJXXO";"#RECO2 RECONOCIMIENTO"
"CLRVGOWCLQ";"CHINOOK HC.1 SUPPLY"
"CLSRRHXAEH";"3-3rd Field Artillery Rgt."
"CLVEVNGKJP";"Pionier-Bat. 7"
"CLWOPTEBNE";"Type 56"
"CLXMBITBAY";"20. Stíhací Bomb. pluk"
"CLXVLKDDVT";"I-TOW"
"CLYLJXPBFA";"PHANTOM F.3 [AA]"
"CMAUDRKJSW";"M198 155mm"
"CMDXIIGLNR";"Kh-29D"
"CMEODGSPXG";"19. MOTOSTRELECKE DIVIZE"
"CMFLVHNVRL";"RANGERS"
"CMITPBUQTN";"Grom"
"CMJGSNBUKT";"CAV. TROOPERS (DRAGON)"
"CMQOBJISNO";"#RECO1 ILTIS M2HB"
"CMRYTCZCZZ";"4-8th Arm. Cavalry Sq."
"CMSAOFUBKF";"2S1M MORSKI GOŹDZIK"
"CMSIADPTBF";"83 prplot"
"CMTIBXQFDZ";"M-46"
"CMUYESJGTE";"BL.755"
"CNBRRMKEOY";"RECOILLESS RIFLE"
"CNEQNNINQP";"#NL 51 Pantserbrigade"
"CNETMNSUDP";"30e Chasseurs"
"CNGVHWPPRV";"T-64B1V"
"CNHLRECLZC";"2-1-y Gv. Tank. Polk"
"CNLQQRQQHY";"1069-y Zen. Art. Polk"
"CNOMLIOMPK";"VKK 344"
"CNPKJJSYZU";"6 pułk zmech."
"CNVYNBMUKT";"Jäger-Bat. 37"
"CNVYTUGLCN";"N.G. M60 7,62mm"
"CNXMCXMEAO";"KOMEND. USILENNAYA"
"CNXSPFJQJU";"2A29"
"CNYIDREOLE";"M113 LML"
"CNZDARUMNL";"21 Engineer Rgt. RE"
"CNZJHGJZIX";"GeWa-4"
"COAHQBLIIN";"4-87-y Art. Polk"
"COBHYHAZNB";"145-Y OTD. TANK. POLK"
"COBTUEBJOK";"CENTRAL ARMY GROUP"
"COCTCGEKVB";"GENIE PARACHUTISTE"
"COCUIJLWPM";"2. MOTOSTRELECKA DIVIZE"
"CODMEOMHDV";"DIVMOB"
"COEFLTISTE";"UZP-72"
"COERASTWXW";"#CMD WD-43"
"COFZKIOBLM";"91st Tac. Fighter Sq."
"COIDWSSUKB";"1-67-y Gv. Tank. Polk"
"Command";"Command Vehicle"
"COMXELQIDT";"A109BA HTPT."
"COULHYOQKT";"#RECO2 SNIPER"
"COVAGXACGN";"#FR 14e Div. Légère Blindée "
"COZBYIDXCF";"#CMD DOW. NIEB. BERETY SAPERZY"
"CPFZEPTLPJ";"RBK-500"
"CPJLEJMNSC";"3e Cuirassiers"
"CPJLNEIEYW";"S-61A"
"CPPZATABGU";"#RFA Flugabwehr-Kdo. 1"
"CPRBESCKOI";"SAW FALO"
"CPRBQAODRU";"#RECO2 BMAN"
"CPSQIYZAFZ";"C3"
"CPTBJPPZNN";"KRAKA M40A1"
"CPWIMTAFLD";"#RECO2 SNIPER"
"CPXODVMHZX";"#CMD JÄGER FÜH."
"CPYQOJKQKO";"22nd Tac. Fighter Sq."
"CQAFHWUHME";"D-56T"
"CQANHOBQYF";"3-1st Field Artillery Rgt."
"CQASETUQFB";"GUNNERS"
"CQBZNPQTFI";"35TH INFANTRY DIVISION (MECH.)"
"CQDFSINJOM";"1-MSR. 28"
"CQDTZUGAHD";"439TFS"
"CQFSZHADIL";"V,/The Light Infantry"
"CQLCIGLHSA";"BMR-PP VCZ"
"CQOSEGKPBX";"MiG-21SMT [AA]"
"CQQDJZBFJC";"UNIMOG U1350L PARA."
"CQVJPYKITS";"#SOV 60-y MSP"
"CQYCULPSLZ";"PULEMETCHIKI"
"CRDOBBHPGY";"2-217. PTP"
"CREZDFEHXA";"#CMD M201 PC"
"CRITIC1";"AMMO EXPLOSION"
"CRITIC10";"TRACKS BROKEN"
"CRITIC103";"ENGINE FIRE"
"CRITIC104";"FUEL TANK FIRE"
"CRITIC106";"PILOT INJURED"
"CRITIC107";"FIRING CALCULATOR FAILURE"
"CRITIC109";"G-LOCK"
"CRITIC111";"ENGINE FLAMEOUT"
"CRITIC112";"PILOT PANICKED"
"CRITIC114";"HUD FAILURE"
"CRITIC115";"HYDRAULIC FLUID FIRE"
"CRITIC116";"AIR INTAKE DAMAGED"
"CRITIC117";"ENGINE OVERHEATING"
"CRITIC121";"WING DAMAGED"
"CRITIC122";"COMPRESSOR STALL"
"CRITIC123";"TURBINE ENGINE FAILURE"
"CRITIC124";"FUEL TANK LEAKING"
"CRITIC125";"AILERON DAMAGE"
"CRITIC126";"JET ENGINE INGESTION"
"CRITIC127";"TAIL DAMAGED"
"CRITIC128";"RUDDER DAMAGED"
"CRITIC129";"ELEVATOR DAMAGED"
"CRITIC13";"TURRET STUCK"
"CRITIC130";"TAIL ROTOR DAMAGED"
"CRITIC131";"MAIN ROTOR DAMAGED"
"CRITIC132";"TURBINE FIRE"
"CRITIC133";"WEAPON SYSTEM FAILURE"
"CRITIC134";"CREW INJURED"
"CRITIC2";"FUEL EXPLOSION"
"CRITIC20";"ENGINE INCENDIARY"
"CRITIC21";"SPALLING"
"CRITIC23";"CREW PANICKED"
"CRITIC3";"HULL BREACH"
"CRITIC5";"BAILED OUT!"
"CRITIC6";"TRANSMISSION DAMAGED"
"CRITIC8";"ENGINE DAMAGED"
"CRITIC9";"ENGINE DESTROYED"
"CRJLZQHQRZ";"TOW 2"
"CRPNGZSTQE";"1-65. MSP"
"CRPTVFNSSI";"#RECO2 LEGION. TIREUR D'ELITE"
"CRRLUNWTUB";"ALPHA JET A [HE]"
"CRUMETCIRV";"2-JaboG 33"
"CRUYREPWFR";"76-YA GV VOZDUSHNO-DESANTNAYA DIVIZIYA"
"CRWNHVFKIN";"#CMD AMX-10 PC"
"CRXWHXDPIU";"42e Infanterie"
"CRYATYEDAJ";"42 Painfbat"
"CRYXRQVTBJ";"A missile fired from a land platform at another land target, skimming just above the ground during its flight.\nMany ground-to-ground missiles find their origin in their airborne brethren, featuring a similar array of propulsion and targeting methods. A distinct subset are anti-tank guided missiles (ATGMs). These are crew-served weapons, fired at enemy ground units and can be controlled in flight. ATGMs can be found as secondary or even primary armament on a wide variety of vehicles, from dedicated carriers to infantry fighting vehicles and helicopters. "
"CSDDTKXJEM";"Command Squad"
"CSDQNPGNLB";"N.G. I-TOW"
"CSFEKQZPYO";"MAN Z311 Mi.50"
"CSGVOVRHGE";"24e Chasseurs"
"CSJFZOCUOL";"#CMD LANDWEHR FÜH."
"CSLMEUDQTA";"2K12 KUB-M3"
"CSMLIEINKN";"MiG-23BN [AT]"
"CSOFVJJNXE";"UNIMOG S404"
"CSQXXUOORM";"FAL Scope "
"CSSPJURFHB";"Artillerie-Bat. 525"
"CSUKPTRVAR";"Leader units grant +1 veterancy level to all nearby units."
"CSXZBJSTEY";"AH-1F HOG"
"CSXZJNPETD";"3-11. TP"
"CSZRAKUAIB";"OBÚS 155/23 M114"
"CTCWQYWNPH";"REZ. B-4M 203mm"
"CTDCNWACSW";"MiG-23BN [AT]"
"CTEEZLFDWA";"CH-135 [RKT]"
"CTIZOVRJLS";"Tarasnice T-21"
"CTNHLJMNMI";"M38A1 TOW"
"CTOUSJOBMX";"R-24MR"
"CTQTJVIQEL";"M60E3"
"CTRNNJLBIQ";"M60"
"CTTEGAZBQP";"3-49 pz"
"CTTMXGGFKO";"DESANT. D-30 122mm"
"CTWTDRZHFN";"Type 56"
"CTXUECWKGU";"Jäger-Rgt. 82"
"CTYMXUOZSO";"Sicherungs-Bat. 118"
"CTYZQMENLP";"66-y Gv. Zen. Art. Polk"
"CUAIDGCGUQ";"BK90/L40"
"CUBCPEXHQI";"Geb.Jäger-Bat. 234"
"CUBUGLAUBX";"#UK RAF Bruggen"
"CUCGBGHAQY";"F-4F [RKT2]"
"CUDBYLTQFW";"STRZAŁA-2M"
"CUEWTCIFNK";"10. MOT.-SCHÜTZEN-DIVISION"
"CUNHLUUGLM";"#RECO2 LSV MILAN"
"CUPVXZXXOC";"2-PR-21"
"CUTTLKTPYT";"GeWa-8"
"CUVYCAIFIX";"303. TANKOVA DIVIZE"
"CUYIMYLVZV";"ML-20"
"CUYMUECWSZ";"3-50 pz"
"CVDCLMHJAA";"#FR 2e Corps d'Armée"
"CVEJUTWJEY";"II./PR-11"
"CVGUBZFAUS";"wz. 43/52"
"CVJXTSDRVX";"BS-3"
"CVKSNAOEVQ";"Geb.Jäger-Bat. 232"
"CVMXFLJZWO";"#CMD DOW. SAPERZY"
"CVNFVKACEI";"#RECO1 P4 ANF1 LEGION"
"CVNSHZPXDX";"BTR-70 KOMENDATURA"
"CVSQQAYTUD";"ILTIS"
"CVSRBVQTAS";"#DDR 5. Artillerie-Brig."
"CVUFVQTJJK";"A-109A [RKT]"
"CVYJPXMNJJ";"DSh. PLAMYA 30mm"
"CVYVYLYCVC";"M119"
"CVZUFGULPX";"12 Dywizja Zmechanizowana"
"CWAIGNVANX";"68mm"
"CWBCQJBMHY";"2A60"
"CWCBKHZYXJ";"NR-23 x3"
"CWDGYQVLLC";"Sniper units gain a +500% damage bonus, +1 Stealth level and Accuracy bonus when not moving. The sniper must remain still for 10 seconds."
"CWFYFWPSMP";"TOW-2"
"CWHWNKWQNU";"2ste Smaldeel"
"CWLVKMNMRF";"SVO"
"CWMAEGWBOY";"LEOPARD 1A1A2"
"CWPSFLXNLC";"PAL BB 77 KAWEST"
"CWSHQEZXJG";"Airborne"
"CWTDSTPJKT";"Type 59-1"
"CWVVYQTJXU";"M6"
"CWYAPLUYLZ";"Sicherungs-Bat. 4301"
"CWYNGSKRIO";"#RFA  VBK 33"
"CWZPFGMHSE";"#SOV 360-y Tank. Polk"
"CXCRBGXKQG";"NORTHAG"
"CXDFMXNOHN";"T-80U"
"CXDSWGGXUF";"FH M1A2 (A2) 105mm"
"CXFUYRFZWP";"MILAN 1"
"CXGMAJPZYV";"BMP-1P (Fagot)"
"CXHCWYDAIT";"#SOV 27-ya Gv. MSD"
"CXHGUBAJDG";"2-MSR. 29"
"CXHHDPXXVR";"AAVP-7"
"CXHXCKLPOL";"#NL 102 Vagp"
"CXIVDNCGMA";"AERO-TOW-2"
"CXKPSEQNOD";"APILAS"
"CXLHCJRDZJ";"493rd Tac. Fighter Sq."
"CXNHGTNRHO";"2ND INF. DIV."
"CXNZJNJRUP";"12e Rgt. d'Artillerie"
"CXOLPZKDDB";"57-YA GV. STRELK. DIV."
"CXRQZNZYVC";"1 BE Corps"
"CXRROXCADH";"2-1054-y Art. Polk"
"CXSHJUGXCA";"#US  3rd Brigade"
"CXUXCRMRMZ";"3-9 pa"
"CXVXJCQQYU";"AB FIRE TEAM (AT-4)"
"CXXYUCXANU";"55-y otd. Tank. Bat."
"CYDYFRFBCN";"#CMD CENTURION Mk.3 HJV"
"CYERCEXXVA";"4-128-y Art. Polk"
"CYFZSMWESQ";"1-33 pa"
"CYKIEXSNOK";"M1 81mm"
"CYKMFTMZCM";"4de Linie"
"CYKNHSXMWP";"#RECO2 RAZVEDKA"
"CYLSBPRBSI";"M55 Maxson"
"CYNQQHTUAA";"Su-7BKL [HE]"
"CYPBCTKPVR";"#CMD DOW. PIECHOTA ZMECH."
"CYPMHYOIWA";"HM-3 COUGAR"
"CYUDIUOCPZ";"#SOV 48-ya MSD"
"CYVHEDTMNO";"30-ya Gv. MSD"
"CYWUOHDAHJ";"1 Luftlande"
"CYWVEYXFSH";"DESANT. FAGOT"
"CYWWNNMWWP";"140mm"
"CYXTQJGAAQ";"Escadre de Chasse 2"
"CYYBEACSLI";"M274 MULE I-TOW"
"CZAPYYTEFR";"3-29-y Gv. MSP"
"CZBZXSZLWO";"1-1st Attack Helo. Bat."
"CZMBGCUTSD";"127mm HEAT"
"CZMROXMMAN";"6e Dragons"
"CZNROQDCEY";"#CMD PZ.BEF. LEOPARD  2A1"
"CZOHUXQNCE";"KORPUS DESANTOWY"
"CZOVVLJBIA";"AML-90"
"CZPIYHECLO";"Su-24M [CLU2]"
"CZQPSPLWVI";"M240B"
"CZSQNXGGTS";"17TH AIRBORNE CORPS"
"CZTEVHABHY";"#RECO2 AIRBORNE SCOUTS"
"CZUVVVUEVS";"#RFA  14. Panzer-Brigade"
"CZVKARQGZY";"#CMD ENGINEERS LDR."
"CZYGFCFMEU";"Velitelství a štáb 1. TD"
"CZZISJGYRY";"STEYR 680 M-55"
"DAATBXUQUG";"DRUZYNA PPANC."
"DAAZIOYAEQ";"T-54B"
"DABPVABSEQ";"II,/AR-8"
"DABSSLYSSJ";"BUCCANEER S.2B [LGB]"
"DACRWSYRGX";"#CMD P4 PC PARA."
"DADVASFFRW";"D-48 85mm"
"DAFBTYJCLJ";"#CMD M1A1(HA) ABRAMS CP"
"DAFHUDFSFT";"Mw. 72"
"DAGDJGMPRS";"1 gb 25 pz"
"DAKACOTBYP";"FLA-RAK. STRELA-10M"
"DAKTMXHSEC";"#RECO2 RAZV. BMD-3"
"DANQOMKOVM";"178-y otd. Vertolotnyy Polk"
